&a / °	I1 / %
-0.567	35.1
-0.572	32.6
-0.578	30.0
-0.583	27.6
-0.588	25.4
-0.594	23.4
-0.599	21.5
-0.604	19.9
-0.610	18.3
-0.615	16.8
-0.620	15.6
-0.626	14.4
-0.631	13.2
-0.636	12.4
-0.642	11.6
-0.647	10.8
-0.652	10.1
-0.658	9.6
-0.663	9.2
-0.668	8.8
-0.674	8.4
-0.679	8.1
-0.684	7.7
-0.690	7.5
-0.695	7.2
-0.701	7.2
-0.706	6.8
-0.711	6.8
-0.717	6.4
-0.722	6.4
-0.727	6.3
-0.733	6.3
-0.738	6.0
-0.743	6.0
-0.749	5.7
-0.754	5.7
-0.759	5.6
-0.765	5.6
-0.770	5.6
-0.775	5.6
-0.781	5.6
-0.786	5.7
-0.791	5.6
-0.797	5.9
-0.802	6.0
-0.807	6.0
-0.813	6.1
-0.818	6.4
-0.823	6.5
-0.829	6.8
-0.834	6.8
-0.840	7.2
-0.845	7.4
-0.850	7.7
-0.856	8.0
-0.861	8.1
-0.866	8.3
-0.872	8.6
-0.877	8.8
-0.882	8.9
-0.888	9.0
-0.893	9.3
-0.898	9.6
-0.904	9.8
-0.909	10.1
-0.914	10.5
-0.920	10.9
-0.925	11.3
-0.930	12.0
-0.936	12.9
-0.941	13.8
-0.946	15.0
-0.952	16.2
-0.957	17.9
-0.962	19.6
-0.968	21.6
-0.973	23.9
-0.979	26.4
-0.984	29.2
-0.989	32.1
-0.995	34.9
-1.000	37.8
-1.005	40.8
-1.011	43.8
-1.016	46.5
-1.021	49.0
-1.027	50.9
-1.032	52.4
-1.037	52.6
-1.043	51.8
-1.048	49.8
-1.053	46.7
-1.059	42.6
-1.064	38.0
-1.069	33.2
-1.075	28.7
-1.080	24.4
-1.085	20.9
-1.091	18.0
-1.096	15.6
-1.101	13.6
-1.107	12.0
-1.112	10.8
-1.118	9.8
-1.123	9.0
-1.128	8.3
-1.134	7.6
-1.139	7.2
-1.144	6.8
-1.150	6.6
-1.155	6.4
-1.160	6.1
-1.166	5.7
-1.171	5.6
-1.176	5.6
-1.182	5.6
-1.187	5.6
-1.192	5.6
-1.198	5.6
-1.203	5.6
-1.208	5.6
-1.214	5.6
-1.219	5.6
-1.224	5.6
-1.230	5.6
-1.235	6.0
-1.240	6.0
-1.246	6.4
-1.251	6.5
-1.256	6.8
-1.262	7.2
-1.267	7.6
-1.273	8.0
-1.278	8.8
-1.283	9.6
-1.289	10.4
-1.294	11.2
-1.299	12.7
-1.305	14.1
-1.310	15.7
-1.315	17.7
-1.321	20.1
-1.326	22.8
-1.331	26.0
-1.337	29.2
-1.342	32.8
-1.347	36.4
-1.353	40.0
-1.358	43.6
-1.363	46.6
-1.369	48.4
-1.374	48.8
-1.379	47.2
-1.385	43.6
-1.390	38.4
-1.395	32.8
-1.401	27.6
-1.406	22.8
-1.411	19.0
-1.417	16.1
-1.422	13.7
-1.428	12.0
-1.433	10.7
-1.438	9.6
-1.444	8.8
-1.449	8.4
-1.454	8.0
-1.460	7.6
-1.465	7.2
-1.470	7.2
-1.476	7.0
-1.481	7.0
-1.486	6.9
-1.492	6.9
-1.497	6.9
-1.502	6.9
-1.508	6.9
-1.513	6.9
-1.518	7.0
-1.524	7.3
-1.529	7.6
-1.534	8.0
-1.540	8.2
-1.545	8.6
-1.550	9.1
-1.556	9.9
-1.561	10.5
-1.566	11.4
-1.572	12.5
-1.577	14.0
-1.582	15.6
-1.588	17.6
-1.593	19.9
-1.599	22.6
-1.604	25.4
-1.609	28.8
-1.615	32.4
-1.620	36.5
-1.625	40.6
-1.631	44.5
-1.636	47.1
-1.641	47.6
-1.647	45.2
-1.652	40.4
-1.657	34.4
-1.663	28.4
-1.668	23.2
-1.673	19.0
-1.679	15.6
-1.684	13.2
-1.689	11.6
-1.695	10.4
-1.700	9.4
-1.705	8.8
-1.711	8.4
-1.716	8.0
-1.721	7.6
-1.727	7.2
-1.732	7.2
-1.737	7.2
-1.743	7.1
-1.748	7.1
-1.753	7.1
-1.759	7.1
-1.764	7.1
-1.769	7.3
-1.775	7.6
-1.780	8.0
-1.786	8.4
-1.791	8.9
-1.796	9.7
-1.802	10.8
-1.807	12.0
-1.812	13.3
-1.818	15.0
-1.823	17.2
-1.828	19.7
-1.834	22.9
-1.839	26.4
-1.844	30.6
-1.850	35.1
-1.855	39.6
-1.860	43.5
-1.866	45.8
-1.871	44.9
-1.876	40.9
-1.882	34.8
-1.887	28.5
-1.892	22.9
-1.898	18.5
-1.903	15.2
-1.908	12.8
-1.914	11.1
-1.919	9.9
-1.924	8.8
-1.930	8.1
-1.935	7.6
-1.940	7.2
-1.946	7.0
-1.951	6.9
-1.956	6.8
-1.962	6.8
-1.967	6.8
-1.972	6.8
-1.978	6.8
-1.983	7.2
-1.989	7.6
-1.994	8.0
-1.999	8.6
-2.005	9.3
-2.010	10.1
-2.015	10.9
-2.021	12.1
-2.026	13.6
-2.031	15.6
-2.037	18.4
-2.042	22.0
-2.047	26.2
-2.053	30.8
-2.058	35.7
-2.063	40.0
-2.069	42.4
-2.074	41.4
-2.079	36.9
-2.085	30.4
-2.090	24.1
-2.095	18.9
-2.101	14.9
-2.106	12.1
-2.111	10.1
-2.117	8.5
-2.122	7.6
-2.127	6.8
-2.133	6.4
-2.138	6.0
-2.143	5.6
-2.149	5.6
-2.154	5.6
-2.159	5.6
-2.165	5.6
-2.170	5.6
-2.175	6.0
-2.181	6.4
-2.186	7.0
-2.191	7.7
-2.197	8.7
-2.202	9.9
-2.207	11.6
-2.213	13.3
-2.218	15.7
-2.223	18.5
-2.229	22.1
-2.234	26.0
-2.240	30.3
-2.245	34.4
-2.250	37.5
-2.256	37.9
-2.261	34.8
-2.266	29.2
-2.272	23.2
-2.277	17.6
-2.282	13.6
-2.288	10.8
-2.293	8.8
-2.298	7.5
-2.304	6.4
-2.309	6.0
-2.314	5.6
-2.320	5.2
-2.325	5.2
-2.330	5.1
-2.336	5.2
-2.341	5.2
-2.346	5.2
-2.352	5.6
-2.357	6.1
-2.362	6.8
-2.368	7.6
-2.373	8.8
-2.378	10.4
-2.384	12.1
-2.389	14.4
-2.394	17.2
-2.400	20.7
-2.405	24.6
-2.410	28.9
-2.416	33.2
-2.421	36.2
-2.426	35.8
-2.432	31.6
-2.437	25.4
-2.442	19.4
-2.448	14.6
-2.453	11.4
-2.458	9.1
-2.464	7.6
-2.469	6.4
-2.474	6.0
-2.480	5.6
-2.485	5.3
-2.490	5.2
-2.496	5.2
-2.501	5.2
-2.506	5.2
-2.512	5.6
-2.517	6.1
-2.522	6.7
-2.528	7.6
-2.533	8.8
-2.538	10.3
-2.544	12.0
-2.549	14.3
-2.554	17.1
-2.560	20.5
-2.565	24.4
-2.570	28.7
-2.576	32.7
-2.581	35.0
-2.586	33.4
-2.592	28.3
-2.597	22.0
-2.602	16.8
-2.608	12.8
-2.613	10.1
-2.619	8.4
-2.624	7.2
-2.629	6.4
-2.635	6.0
-2.640	5.6
-2.645	5.6
-2.651	5.6
-2.656	6.0
-2.661	6.3
-2.667	6.7
-2.672	7.2
-2.677	7.9
-2.683	8.8
-2.688	10.0
-2.693	11.6
-2.699	13.6
-2.704	16.1
-2.709	19.2
-2.715	22.8
-2.720	26.8
-2.725	30.4
-2.731	32.4
-2.736	31.6
-2.741	25.7
-2.747	19.6
-2.752	14.5
-2.757	10.8
-2.763	8.4
-2.768	6.8
-2.773	6.0
-2.779	5.3
-2.784	4.9
-2.789	4.8
-2.795	4.8
-2.800	5.2
-2.805	5.2
-2.811	5.6
-2.816	6.4
-2.821	7.2
-2.827	8.2
-2.832	9.5
-2.837	11.3
-2.843	13.4
-2.848	16.2
-2.853	19.3
-2.859	22.9
-2.864	26.5
-2.869	29.6
-2.875	29.6
-2.880	25.6
-2.885	20.0
-2.891	14.9
-2.896	11.1
-2.901	8.7
-2.907	7.1
-2.912	6.2
-2.917	5.5
-2.923	5.2
-2.928	5.2
-2.933	5.2
-2.939	5.2
-2.944	5.6
-2.949	6.3
-2.955	7.1
-2.960	8.0
-2.965	9.2
-2.971	10.6
-2.976	12.7
-2.981	15.1
-2.987	18.0
-2.992	21.2
-2.997	24.8
-3.003	28.0
-3.008	29.0
-3.013	26.0
-3.019	20.7
-3.024	15.5
-3.029	11.6
-3.035	9.0
-3.040	7.2
-3.045	6.3
-3.051	5.7
-3.056	5.3
-3.061	5.2
-3.067	5.2
-3.072	5.4
-3.077	5.8
-3.083	6.4
-3.088	7.2
-3.093	8.4
-3.099	9.6
-3.104	11.2
-3.109	13.2
-3.115	15.6
-3.120	18.7
-3.125	22.2
-3.131	25.6
-3.136	27.1
-3.141	24.7
-3.147	19.6
-3.152	14.4
-3.157	10.8
-3.163	8.0
-3.168	6.6
-3.173	5.6
-3.179	5.2
-3.184	4.9
-3.189	5.1
-3.195	5.2
-3.200	5.6
-3.205	6.0
-3.211	6.8
-3.216	7.7
-3.221	9.1
-3.227	10.4
-3.232	12.4
-3.237	14.8
-3.243	17.6
-3.248	20.5
-3.253	23.5
-3.259	25.1
-3.264	23.4
-3.269	18.9
-3.275	14.1
-3.280	10.5
-3.285	8.0
-3.291	6.7
-3.296	5.9
-3.301	5.5
-3.306	5.5
-3.312	5.5
-3.317	5.6
-3.322	6.0
-3.328	6.4
-3.333	7.2
-3.338	8.3
-3.344	9.5
-3.349	11.2
-3.354	13.2
-3.360	15.6
-3.365	18.0
-3.370	20.8
-3.376	22.8
-3.381	22.1
-3.386	18.4
-3.392	13.9
-3.397	10.2
-3.402	7.8
-3.408	6.2
