&a / °	I1 / %
0.610	46.5
0.604	46.9
0.599	47.2
0.594	47.5
0.588	47.3
0.583	47.0
0.578	46.5
0.572	46.1
0.567	45.7
0.561	45.6
0.556	45.4
0.551	45.5
0.545	45.8
0.540	46.3
0.535	46.9
0.529	47.7
0.524	48.7
0.519	49.9
0.513	51.1
0.508	52.6
0.503	54.0
0.497	55.6
0.492	56.9
0.487	58.4
0.481	60.0
0.476	61.6
0.471	63.1
0.465	64.5
0.460	65.4
0.455	66.2
0.449	66.3
0.444	66.3
0.438	66.3
0.433	66.7
0.428	66.9
0.422	66.6
0.417	65.3
0.412	63.3
0.406	61.3
0.401	60.1
0.396	59.5
0.390	59.4
0.385	59.4
0.380	59.4
0.374	58.9
0.369	58.2
0.364	57.1
0.358	56.0
0.353	54.8
0.348	53.6
0.342	52.3
0.337	51.3
0.332	50.4
0.326	49.6
0.321	48.6
0.316	47.7
0.310	46.8
0.305	46.1
0.299	45.3
0.294	45.0
0.289	44.9
0.283	45.2
0.278	45.3
0.273	45.8
0.267	46.3
0.262	46.8
0.257	47.1
0.251	47.6
0.246	47.9
0.241	48.2
0.235	48.5
0.230	48.9
0.225	49.2
0.219	49.4
0.214	49.4
0.209	49.5
0.203	49.6
0.198	49.7
0.193	49.7
0.187	49.9
0.182	50.0
0.176	50.2
0.171	50.3
0.166	50.6
0.160	50.5
0.155	50.5
0.150	50.3
0.144	50.1
0.139	49.8
0.134	49.7
0.128	49.6
0.123	49.6
0.118	49.6
0.112	49.8
0.107	49.8
0.102	50.0
0.096	50.0
0.091	50.0
0.086	49.6
0.080	49.6
0.075	49.6
0.070	49.7
0.064	49.6
0.059	49.6
0.053	49.2
0.048	48.9
0.043	48.6
0.037	48.6
0.032	48.7
0.027	49.1
0.021	49.3
0.016	49.6
0.011	49.6
0.005	49.5
0.000	49.2
-0.005	48.8
-0.011	48.1
-0.016	47.3
-0.021	46.5
-0.027	46.1
-0.032	46.1
-0.037	46.5
-0.043	46.9
-0.048	47.4
-0.053	47.6
-0.059	47.8
-0.064	47.8
-0.070	47.9
-0.075	48.0
-0.080	48.1
-0.086	48.1
-0.091	48.1
-0.096	48.1
-0.102	48.1
-0.107	48.1
-0.112	48.2
-0.118	48.3
-0.123	48.6
-0.128	48.7
-0.134	48.9
-0.139	49.1
-0.144	49.4
-0.150	49.7
-0.155	50.0
-0.160	50.1
-0.166	50.5
-0.171	50.6
-0.176	50.6
-0.182	50.4
-0.187	50.4
-0.193	50.1
-0.198	49.7
-0.203	49.3
-0.209	49.1
-0.214	48.8
-0.219	48.4
-0.225	48.1
-0.230	48.0
-0.235	47.7
-0.241	47.5
-0.246	47.2
-0.251	47.0
-0.257	46.8
-0.262	46.7
-0.267	46.3
-0.273	46.0
-0.278	45.6
-0.283	45.5
-0.289	45.2
-0.294	45.2
-0.299	45.2
-0.305	45.6
-0.310	45.9
-0.316	46.1
-0.321	46.1
-0.326	46.0
-0.332	45.6
-0.337	45.5
-0.342	45.2
-0.348	45.0
-0.353	44.8
-0.358	44.8
-0.364	44.9
-0.369	45.1
-0.374	45.4
-0.380	46.1
-0.385	46.8
-0.390	47.7
-0.396	48.5
-0.401	49.4
-0.406	50.2
-0.412	51.3
-0.417	52.4
-0.422	53.5
-0.428	54.6
-0.433	55.7
-0.438	56.8
-0.444	57.9
-0.449	58.8
-0.455	59.8
-0.460	60.8
-0.465	61.9
-0.471	62.9
-0.476	63.9
-0.481	64.8
-0.487	65.5
-0.492	66.0
-0.497	66.4
-0.503	66.6
-0.508	66.8
-0.513	66.7
-0.519	66.4
-0.524	65.9
-0.529	65.1
-0.535	64.2
-0.540	63.1
-0.545	61.8
-0.551	60.4
-0.556	58.7
-0.561	57.1
-0.567	55.1
-0.572	53.4
-0.578	51.7
-0.583	50.1
-0.588	48.5
-0.594	47.4
-0.599	46.2
-0.604	45.1
-0.610	44.4
-0.615	43.9
-0.620	43.5
-0.626	43.2
-0.631	42.8
-0.636	42.7
-0.642	42.6
-0.647	42.8
-0.652	43.0
-0.658	43.4
-0.663	43.8
-0.668	44.3
-0.674	44.4
-0.679	44.5
-0.684	44.3
-0.690	44.1
-0.695	43.6
-0.701	42.9
-0.706	41.9
-0.711	40.7
-0.717	39.2
-0.722	37.7
-0.727	35.9
-0.733	34.2
-0.738	32.6
-0.743	31.0
-0.749	29.3
-0.754	27.7
-0.759	26.1
-0.765	24.9
-0.770	23.7
-0.775	22.7
-0.781	21.9
-0.786	21.2
-0.791	20.4
-0.797	20.0
-0.802	19.7
-0.807	19.7
-0.813	19.7
-0.818	20.0
-0.823	20.3
-0.829	20.7
-0.834	21.2
-0.840	22.0
-0.845	22.8
-0.850	23.6
-0.856	24.7
-0.861	25.9
-0.866	27.2
-0.872	28.8
-0.877	30.3
-0.882	31.9
-0.888	33.5
-0.893	35.4
-0.898	37.3
-0.904	39.3
-0.909	41.2
-0.914	43.1
-0.920	44.8
-0.925	46.4
-0.930	47.5
-0.936	48.3
-0.941	48.6
-0.946	48.5
-0.952	48.0
-0.957	47.3
-0.962	46.5
-0.968	45.8
-0.973	45.4
-0.979	45.4
-0.984	45.9
-0.989	46.8
-0.995	48.0
-1.000	49.4
-1.005	51.2
-1.011	53.5
-1.016	55.6
-1.021	58.0
-1.027	60.2
-1.032	62.1
-1.037	63.2
-1.043	63.7
-1.048	63.2
-1.053	61.8
-1.059	59.4
-1.064	56.3
-1.069	52.8
-1.075	49.4
-1.080	46.3
-1.085	44.0
-1.091	42.2
-1.096	41.2
-1.101	40.6
-1.107	40.5
-1.112	40.5
-1.118	41.0
-1.123	41.4
-1.128	41.9
-1.134	42.1
-1.139	42.0
-1.144	41.2
-1.150	39.6
-1.155	37.3
-1.160	34.6
-1.166	31.6
-1.171	28.9
-1.176	26.2
-1.182	24.0
-1.187	22.2
-1.192	21.0
-1.198	20.0
-1.203	19.4
-1.208	19.1
-1.214	19.1
-1.219	19.5
-1.224	20.1
-1.230	20.7
-1.235	21.8
-1.240	23.0
-1.246	24.6
-1.251	26.3
-1.256	28.5
-1.262	30.9
-1.267	33.6
-1.273	36.3
-1.278	39.2
-1.283	41.8
-1.289	44.3
-1.294	46.0
-1.299	47.1
-1.305	47.2
-1.310	46.4
-1.315	45.2
-1.321	44.0
-1.326	43.1
-1.331	43.0
-1.337	43.6
-1.342	45.2
-1.347	47.4
-1.353	50.2
-1.358	53.0
-1.363	55.9
-1.369	58.4
-1.374	60.0
-1.379	60.0
-1.385	58.5
-1.390	55.5
-1.395	51.8
-1.401	47.8
-1.406	44.5
-1.411	41.7
-1.417	40.1
-1.422	39.3
-1.428	39.3
-1.433	39.8
-1.438	40.6
-1.444	41.3
-1.449	41.6
-1.454	40.8
-1.460	38.9
-1.465	36.1
-1.470	32.9
-1.476	29.5
-1.481	26.7
-1.486	24.3
-1.492	22.6
-1.497	21.4
-1.502	20.7
-1.508	20.4
-1.513	20.7
-1.518	21.1
-1.524	21.9
-1.529	23.0
-1.534	24.6
-1.540	26.6
-1.545	29.0
-1.550	31.7
-1.556	34.7
-1.561	37.9
-1.566	41.0
-1.572	43.6
-1.577	45.5
-1.582	46.0
-1.588	45.5
-1.593	44.4
-1.599	43.2
-1.604	42.5
-1.609	42.9
-1.615	44.2
-1.620	46.7
-1.625	49.8
-1.631	53.3
-1.636	56.4
-1.641	58.5
-1.647	58.1
-1.652	55.8
-1.657	51.8
-1.663	47.5
-1.668	43.6
-1.673	40.5
-1.679	38.5
-1.684	37.7
-1.689	37.7
-1.695	38.4
-1.700	38.9
-1.705	39.0
-1.711	37.8
-1.716	35.3
-1.721	31.7
-1.727	28.1
-1.732	25.1
-1.737	22.9
-1.743	21.3
-1.748	20.5
-1.753	20.0
-1.759	20.2
-1.764	20.7
-1.769	21.7
-1.775	23.1
-1.780	25.0
-1.786	27.4
-1.791	30.5
-1.796	33.9
-1.802	37.5
-1.807	40.7
-1.812	43.2
-1.818	44.1
-1.823	43.7
-1.828	42.5
-1.834	41.9
-1.839	42.1
-1.844	43.5
-1.850	46.0
-1.855	49.3
-1.860	52.7
-1.866	55.5
-1.871	56.3
-1.876	54.8
-1.882	50.9
-1.887	46.5
-1.892	42.5
-1.898	39.8
-1.903	38.3
-1.908	37.9
-1.914	38.3
-1.919	38.7
-1.924	38.2
-1.930	36.6
-1.935	33.4
-1.940	29.8
-1.946	26.2
-1.951	23.6
-1.956	21.6
-1.962	20.5
-1.967	20.0
-1.972	20.3
-1.978	20.7
-1.983	21.9
-1.989	23.6
-1.994	26.0
-1.999	28.9
-2.005	32.3
-2.010	35.6
-2.015	38.8
-2.021	40.4
-2.026	40.4
-2.031	38.8
-2.037	37.6
-2.042	37.6
-2.047	39.1
-2.053	41.7
-2.058	45.5
-2.063	49.3
-2.069	52.4
-2.074	53.2
-2.079	51.3
-2.085	46.9
-2.090	42.5
-2.095	39.0
-2.101	37.1
-2.106	36.4
-2.111	36.5
-2.117	36.7
-2.122	36.3
-2.127	34.3
-2.133	31.1
-2.138	27.3
-2.143	24.1
-2.149	21.6
-2.154	20.0
-2.159	19.2
-2.165	19.2
-2.170	19.8
-2.175	21.1
-2.181	23.0
-2.186	25.8
-2.191	28.9
-2.197	32.7
-2.202	36.4
-2.207	39.6
-2.213	40.8
-2.218	40.4
-2.223	39.4
-2.229	39.1
-2.234	39.9
-2.240	41.8
-2.245	44.3
-2.250	47.2
-2.256	48.8
-2.261	48.1
-2.266	45.0
-2.272	40.9
-2.277	37.1
-2.282	34.8
-2.288	33.6
-2.293	33.6
-2.298	33.7
-2.304	33.0
-2.309	30.8
-2.314	27.4
-2.320	23.7
-2.325	20.9
-2.330	19.2
-2.336	18.3
-2.341	18.3
-2.346	19.0
-2.352	20.2
-2.357	22.2
-2.362	24.8
-2.368	28.2
-2.373	32.0
-2.378	35.7
-2.384	38.0
