																
grün1			Rot1			Rot2			Türkis			violett			violettx2	
&a / °	I1 / %		&a / °	I1 / %		&a / °	I1 / %		&a / °	I1 / %		&a / °	I1 / %		&a / °	I1 / %
2.352	15.3		2.352	18.7		2.352	14.4		2.352	14.0		2.352	14.8		2.352	15.1
2.349	15.3		2.349	18.7		2.349	14.4		2.349	14.0		2.349	14.8		2.349	15.1
2.346	15.3		2.346	18.7		2.346	14.4		2.346	14.0		2.346	14.8		2.346	15.1
2.344	15.3		2.344	18.7		2.344	14.4		2.344	14.0		2.344	14.8		2.344	15.1
2.341	15.3		2.341	18.7		2.341	14.4		2.341	14.0		2.341	14.8		2.341	15.1
2.338	15.3		2.338	18.7		2.338	14.4		2.338	14.0		2.338	14.8		2.338	15.1
2.336	15.3		2.336	18.7		2.336	14.4		2.336	14.0		2.336	14.8		2.336	15.1
2.333	15.3		2.333	18.7		2.333	14.4		2.333	14.0		2.333	14.8		2.333	15.1
2.330	15.3		2.330	18.7		2.330	14.4		2.330	14.0		2.330	14.8		2.330	15.1
2.328	15.2		2.328	18.7		2.328	14.4		2.328	14.0		2.328	14.8		2.328	15.0
2.325	15.2		2.325	18.7		2.325	14.4		2.325	14.0		2.325	14.8		2.325	15.0
2.322	15.3		2.322	18.7		2.322	14.4		2.322	14.0		2.322	14.8		2.322	15.0
2.320	15.2		2.320	18.7		2.320	14.4		2.320	14.0		2.320	14.8		2.320	15.0
2.317	15.2		2.317	18.7		2.317	14.4		2.317	14.0		2.317	14.8		2.317	15.0
2.314	15.2		2.314	18.7		2.314	14.4		2.314	14.0		2.314	14.8		2.314	15.0
2.312	15.3		2.312	18.7		2.312	14.4		2.312	14.0		2.312	14.8		2.312	15.1
2.309	15.2		2.309	18.7		2.309	14.4		2.309	14.0		2.309	14.8		2.309	15.1
2.306	15.2		2.306	18.7		2.306	14.4		2.306	14.0		2.306	14.8		2.306	15.1
2.304	15.2		2.304	18.7		2.304	14.4		2.304	14.0		2.304	14.8		2.304	15.1
2.301	15.2		2.301	18.7		2.301	14.4		2.301	14.0		2.301	14.9		2.301	15.1
2.298	15.3		2.298	18.7		2.298	14.4		2.298	14.0		2.298	14.9		2.298	15.1
2.296	15.3		2.296	18.7		2.296	14.4		2.296	14.1		2.296	14.9		2.296	15.1
